ts_us,iface,length,payload_len,direction,eth_type,src_mac,dst_mac,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,tcp_flags,flow_key,payload_sample
1760903516444174,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,A,212.102.113.127:443-192.168.1.117:50051-TCP,ea89441da6f6636fe7dfad149121801f14b42df34d8fd82bca63691ff4ee2112
1760903516444215,Ethernet,66,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,A,192.168.1.117:50051-212.102.113.127:443-TCP,
1760903516444360,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,PA,212.102.113.127:443-192.168.1.117:50051-TCP,15f3c60682fcd8652f2ecf8cabf0c21147888f746442c36cdadfa004417dab75
1760903516444448,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,A,192.168.1.117:50051-212.102.113.127:443-TCP,
1760903516444502,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,PA,212.102.113.127:443-192.168.1.117:50051-TCP,541bfd2bc2c7c5a1176363e78716d11fe5a9b51da90f4b7b56af30ba9fb48ef7
1760903516444502,Ethernet,204,150,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,PA,212.102.113.127:443-192.168.1.117:50051-TCP,cd3e2072692d0884f694663ffaefe449c74e7ea295c922965cb9fcbfead20395
1760903516444562,Ethernet,66,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,A,192.168.1.117:50051-212.102.113.127:443-TCP,
1760903516444596,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,A,212.102.113.127:443-192.168.1.117:50051-TCP,3ac2ab89120cc4255a6026e5dd1040080796ec088fa330129dd00b9f7e33cccf
1760903516444631,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,A,192.168.1.117:50051-212.102.113.127:443-TCP,
1760903516444723,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,A,212.102.113.127:443-192.168.1.117:50051-TCP,f64795463686b384504c181c51236fdb121df8d5873937df8d51e6c18cec79aa
1760903516444844,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,PA,212.102.113.127:443-192.168.1.117:50051-TCP,380febfb2168bb949313a5cd7df7686655bc05c21139c4e60202e1e41fd5c1b0
